function	callsite	destination	source	key_len	output_len	printable_score	text
0x1DE4F4	0xC95D8	0x2B1DFC	0x3D0A5	19	244	1.000	\n=========================================\n请选择模块版本：\n请使用音量键选择：\n  音量上键：搞机版 (推荐)\n  音量下键：游戏版\n  10秒无操作：默认选择搞机版\n=========================================\n\n
0x1DE754	0xC95FC	0x2B1EF4	0x3D1CE	22	10	1.000	搞机版
0x1DE864	0xC9620	0x2B1F04	0x3D208	28	10	1.000	游戏版
0x1DEB64	0xC977C	0x2B1F14	0x3D24D	15	259	1.000	\n=========================================\n请选择 Root 环境检测方式：\n请使用音量键选择：\n  音量上键：自动检测 (推荐)\n  音量下键：手动选择\n  10秒无操作：默认自动检测\n=========================================\n\n
0x1DEF54	0xC97CC	0x2B2030	0x3D3C5	24	13	1.000	手动选择
0x1DF04C	0xC9878	0x2B2044	0x3D409	14	263	1.000	\n=========================================\n请选择 BL 解锁状态检测方式：\n请使用音量键选择：\n  音量上键：自动检测 (推荐)\n  音量下键：手动选择\n  10秒无操作：默认自动检测\n=========================================\n\n
0x1DF628	0xC9998	0x2B228C	0x3D6B6	21	19	1.000	删除风险文件
0x1DF86C	0xC99C0	0x2B22A4	0x3D700	22	25	1.000	跳过风险文件清理
0x1E0000	0xC9D04	0x2B233C	0x3D827	22	44	1.000	\n=========================================\n
0x1E0BA0	0xCBF68	0x2B2408	0x3D9D4	11	44	1.000	=========================================\n\n
0x1E1528	0xCA730	0x2B24A8	0x3DBC1	11	2	1.000	]
0x1E160C	0xCA118	0x2B24B0	0x3DBF2	24	68	1.000	[提示] getevent 无法打开，自动切换为 BL 自动检测。
0x1E21D8	0xCAD04	0x2B2578	0x3DE09	20	71	1.000	[提示] BL 手动选择未完成，自动切换为 BL 自动检测。
0x1E317C	0xCC254	0x2B26DC	0x3E0CA	27	70	1.000	[提示] getevent 无法打开，自动切换为 Root 自动检测。
0x1E3260	0xCCBB8	0x2B2728	0x3E13B	25	19	1.000	错误: 已选择 
0x1E3430	0xCCC20	0x2B2740	0x3E17E	23	94	1.000	，但未检测到对应 Root 管理器可执行文件，自动切换为 Root 自动检测。
0x1E35E0	0xCCED8	0x2B27A4	0x3E231	11	70	1.000	[提示] 手动选择未完成，自动切换为 Root 自动检测。
0x1E383C	0xCD768	0x2B27F0	0x3E2A1	31	30	1.000	announcement request failed; 
0x1E39F4	0xCD7B0	0x2B2814	0x3E308	15	22	1.000	连接服务器失败
0x1E3C4C	0xCD88C	0x2B2830	0x3E357	10	13	1.000	"""moduleInfo"""
0x1E3E04	0xCD8F0	0x2B2844	0x3E39C	13	12	1.000	versionCode
0x1E406C	0xCD9B4	0x2B2854	0x3E3F1	20	13	1.000	/module.prop
0x1E4E10	0xCE040	0x2B299C	0x3E684	9	15	1.000	"""announcement"""
0x1E5228	0xCE190	0x2B29BC	0x3E706	29	7	1.000	author
0x1E5584	0xCE434	0x2B29C8	0x3E754	12	3	1.000	\\n
0x1E5898	0xCE4E4	0x2B29D0	0x3E78D	15	29	1.000	\n=== 公告 ===\n🎉作者: 
0x1E6004	0xCE5A8	0x2B2A10	0x3E892	20	39	1.000	announcement json field parse failed; 
0x1E61B4	0xCE658	0x2B2A3C	0x3E8F3	23	25	1.000	解析公告字段失败
0x1E672C	0xCE82C	0x2B2A84	0x3E995	8	25	1.000	解析公告节点失败
0x1E6A08	0xCFE94	0x2B2AA4	0x3E9E0	15	5	1.000	""": {"
0x1E6BD8	0xD00F4	0x2B2AB0	0x3EA11	8	3	1.000	},
0x1E6FA0	0xD0180	0x2B2AB8	0x3EA31	11	2	1.000	}
0x1E70A4	0xA84A4	0x2B2AC0	0x3EA56	15	3	1.000	id
0x1E726C	0xA84EC	0x2B2AC8	0x3EA98	22	7	1.000	sha256
0x1E740C	0xD0CD8	0x2B2AD4	0x3EAD6	18	7	1.000	tricky
0x1E75BC	0xD0DDC	0x2B2AE0	0x3EB28	17	14	1.000	playintegrity
0x1E76A0	0xD0EA4	0x2B2AF4	0x3EB7A	29	15	1.000	play-integrity
0x1E7794	0xD0F78	0x2B2B08	0x3EBCC	22	13	1.000	teesimulator
0x1E7D88	0xD15BC	0x2B2B30	0x3EC6B	14	13	1.000	游戏模块
0x1E80A0	0xD1654	0x2B2B44	0x3EC98	23	13	1.000	基础模块
0x1E82E8	0xD17B0	0x2B2B58	0x3ECF1	29	15	1.000	BL基础模块
0x1E8550	0xD180C	0x2B2B6C	0x3ED2D	13	9	1.000	KernelSU
0x1E8708	0xD1864	0x2B2B7C	0x3ED7E	10	16	1.000	KSU模块链接
0x1E8C3C	0xD1AC4	0x2B2BA4	0x3EDFB	20	19	1.000	MAGISK模块链接
0x1E8DFC	0xD1B5C	0x2B2BBC	0x3EE40	13	16	1.000	处理器模块
0x1E9124	0xD2500	0x2B2BD0	0x3EE75	9	13	1.000	有效密钥
0x1E933C	0xD4290	0x2B2BE4	0x3EEAD	29	23	1.000	\n=== 下载资源 ===\n
0x1E94F4	0xD42BC	0x2B2C00	0x3EF03	28	5	1.000	共 
0x1E993C	0xD4304	0x2B2C0C	0x3EF4D	26	11	1.000	 个资源
0x1EA324	0xD48A4	0x2B2C4C	0x3F07F	26	21	1.000	  ❌ 下载失败: 
0x1EA6EC	0xD4AF4	0x2B2C7C	0x3F126	23	12	1.000	⚠️ 共 
0x1EA928	0xD4B30	0x2B2C8C	0x3F176	25	50	1.000	 个资源下载失败，对应功能可能缺失
0x1EAAD8	0xD4BA4	0x2B2CC4	0x3F1D3	19	23	1.000	✅ 下载阶段结束
0x1EAD48	0xD5268	0x2B2CE0	0x3F217	17	24	1.000	magisk --install-module
0x1EAFAC	0xD5328	0x2B2CFC	0x3F250	13	29	1.000	/data/adb/apd module install
0x1EB320	0xD5764	0x2B2D34	0x3F2F6	24	80	1.000	- 跳过：未找到可用的 Root 模块安装命令，跳过 ZIP 模块安装
0x1EB404	0xD5880	0x2B2D88	0x3F39B	19	59	1.000	- 跳过：下载目录不存在，跳过 ZIP 模块安装
0x1EB5C0	0xD5A98	0x2B2DC8	0x3F3FA	25	5	1.000	.zip
0x1EBA1C	0xD5C58	0x2B2DF0	0x3F4A6	16	23	1.000	  ✅ ZIP 安装完成
0x1EBBB0	0xD5D1C	0x2B2E0C	0x3F509	9	57	1.000	⚠️ ZIP 安装命令返回非0，继续后续流程: 
0x1EBD58	0xD5EE0	0x2B2E4C	0x3F585	27	32	1.000	- 跳过：未发现 ZIP 模块
0x1EBE3C	0xD6204	0x2B2E70	0x3F5D5	17	5	1.000	.apk
0x1ED2E4	0xD680C	0x2B2F68	0x3F877	11	32	1.000	- 跳过：未发现 APK 应用
0x1ED8C8	0xD6A4C	0x2B2F9C	0x3F927	10	7	1.000	keybox
0x1EDBBC	0xE3E04	0x2B2FA8	0x3F972	9	23	1.000	/data/adb/tricky_store
0x1EDD78	0xD6B48	0x2B2FC4	0x3F9C7	16	34	1.000	/data/adb/tricky_store/keybox.xml
0x1EDF18	0xD6B9C	0x2B2FEC	0x3FA20	19	26	1.000	✅ 有效密钥已部署
0x1EEADC	0xD8504	0x2B3048	0x3FBC4	9	5	1.000	.tmp
0x1EFB0C	0xDCE04	0x2B3260	0x3FFE9	26	12	1.000	    </set>\n
0x1F208C	0x10BB98	0x2B35CC	0x406E4	28	7	1.000	</map>
0x1F2328	0xDA148	0x2B35E4	0x40773	16	5	1.000	<set
0x1F2410	0xDA1C4	0x2B35F0	0x407B0	22	7	1.000	</set>
0x1F2668	0xDA3BC	0x2B35FC	0x407F6	25	8	1.000	<string
0x1F29D0	0xDA94C	0x2B3608	0x4083A	27	10	1.000	</string>
0x1F3058	0xDC10C	0x2B3630	0x408C7	27	3	1.000	""">"
0x1F32D0	0xDC15C	0x2B3638	0x4091B	15	11	1.000	</string>\n
0x1F3458	0xDC2D0	0x2B3648	0x4094F	24	20	1.000	"    <boolean name="""
