File	Line	Offset	Length	Key	Pool	Decoded	Original
kevin\fun\hook\DexKitFinder.java	12582	3124	21	1125	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	VIDEO_PLAY_ADDR_FIELD	java.lang.String r1 = dev.rikka.ndk.thirdparty.libcxx.C1112.m3796(r1, r2, r5, r6)
kevin\fun\hook\DexKitFinder.java	12633	3158	25	3049	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	VIDEO_PLAY_ADDR_265_FIELD	java.lang.String r1 = androidx.lifecycle.process.C1091.m2229(r1, r2, r5, r6)
kevin\fun\hook\DexKitFinder.java	12656	3183	14	684	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	play_addr_h264	java.lang.String r1 = androidx.vectordrawable.C1104.m3232(r1, r5, r6, r7)
kevin\fun\hook\DexKitFinder.java	12707	3223	17	1249	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	play_addr_bytevc1	java.lang.String r1 = kevin.fun.hook.webdav.C1119.m8576(r1, r5, r6, r7)
kevin\fun\hook\DexKitFinder.java	12784	3269	41	1649	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	com.ss.android.ugc.aweme.feed.model.Video	java.lang.String r4 = androidx.emoji2.C1080.m1525(r4, r5, r6, r7)
kevin\fun\hook\DexKitFinder.java	12857	3310	42	621	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	com.google.gson.annotations.SerializedName	java.lang.String r5 = androidx.emoji2.C1080.m1525(r5, r6, r7, r8)
kevin\fun\hook\DexKitFinder.java	12864	3352	8	1885	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	duration	java.lang.String r5 = androidx.vectordrawable.animated.C1102.m3116(r5, r6, r7, r8)
kevin\fun\hook\DexKitFinder.java	13740	3698	4	1619	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	void	java.lang.String r1 = androidx.lifecycle.process.C1090.m2213(r1, r4, r5, r6)
kevin\fun\hook\DexKitFinder.java	13875	3753	14	1795	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	invoke-virtual	java.lang.String r2 = androidx.loader.C1094.m2495(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	13881	3767	11	715	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	return-void	java.lang.String r3 = androidx.lifecycle.livedata.C1084.m1796(r3, r4, r5, r6)
kevin\fun\hook\DexKitFinder.java	13887	3778	11	2506	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	iput-object	java.lang.String r4 = org.luckypray.dexkit.C1124.m10545(r4, r5, r6, r7)
kevin\fun\hook\DexKitFinder.java	14408	4049	42	1	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	̳̱̿Ͳ̻̳̳̻̰̹Ͳ̻̯̳̲Ͳ̵̨̨̲̲̳̳̲̯̽̽Ͳ̵̵̸̹̮̰̦̹̱̹̏̽̒̽	java.lang.String r5 = org.luckypray.dexkit.C1124.m10545(r5, r6, r7, r8)
kevin\fun\hook\DexKitFinder.java	14415	4091	9	1	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	ʛʝʋʜʱʇʀʈʁ	java.lang.String r5 = androidx.drawerlayout.C1077.m1343(r5, r6, r7, r8)
kevin\fun\hook\DexKitFinder.java	14452	4130	20	1688	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	java.lang.Comparable	java.lang.String r3 = kevin.fun.hook.webdav.C1119.m8576(r3, r4, r5, r6)
kevin\fun\hook\DexKitFinder.java	15114	4441	13	1214	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	java.util.Map	java.lang.String r4 = androidx.core.C1073.m1028(r4, r5, r6, r7)
kevin\fun\hook\DexKitFinder.java	15599	4751	23	2986	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	android.content.Context	java.lang.String r4 = androidx.loader.C1097.m2734(r4, r5, r6, r7)
kevin\fun\hook\DexKitFinder.java	15605	4774	16	2787	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	java.lang.String	java.lang.String r5 = kevin.fun.hook.C1120.m8645(r5, r6, r7, r8)
kevin\fun\hook\DexKitFinder.java	15720	4848	15	1073	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	未能通过字符串定位到标签工厂类	java.lang.String r1 = androidx.loader.C1094.m2495(r1, r2, r3, r4)
kevin\fun\hook\DexKitFinder.java	16144	5139	7	1007	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	forward	java.lang.String r6 = androidx.startup.C1100.m2931(r6, r7, r8, r9)
kevin\fun\hook\DexKitFinder.java	16226	5146	27	2868	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	ContentDressBubbleCellUIOpt	java.lang.String r4 = androidx.lifecycle.process.C1087.m2008(r4, r5, r6, r7)
kevin\fun\hook\DexKitFinder.java	16394	5326	75	2288	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	com.ss.android.ugc.aweme.comment.adapter.vh.components.TimeOrRetryComponent	java.lang.String r4 = androidx.startup.C1101.m3014(r4, r5, r6, r7)
kevin\fun\hook\DexKitFinder.java	16430	5401	16	2349	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	java.lang.Object	java.lang.String r4 = androidx.viewpager.C1108.m3518(r4, r5, r6, r7)
kevin\fun\hook\DexKitFinder.java	16888	5863	4	2440	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	void	java.lang.String r4 = androidx.loader.C1096.m2645(r4, r5, r6, r7)
kevin\fun\hook\DexKitFinder.java	16984	5931	17	3259	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	android.view.View	java.lang.String r4 = androidx.activity.C1062.m170(r4, r5, r6, r7)
kevin\fun\hook\DexKitFinder.java	17086	6019	42	682	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	com.ss.android.ugc.aweme.kiwi.model.QModel	java.lang.String r4 = androidx.lifecycle.process.C1088.m2044(r4, r5, r6, r7)
kevin\fun\hook\DexKitFinder.java	17426	6131	23	2603	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	android.content.Context	java.lang.String r5 = dev.rikka.ndk.thirdparty.libcxx.C1110.m3697(r5, r6, r7, r8)
kevin\fun\hook\DexKitFinder.java	17435	6154	30	1196	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	kotlin.jvm.functions.Function5	java.lang.String r5 = androidx.customview.C1074.m1116(r5, r6, r7, r8)
kevin\fun\hook\DexKitFinder.java	17444	6184	6	690	kevin.fun.hook.DexKitFinder.SafeFinder.f362short	<init>	java.lang.String r5 = androidx.emoji2.C1080.m1525(r5, r6, r7, r8)
kevin\fun\hook\DexKitFinder.java	18718	87	10	1582	kevin.fun.hook.DexKitFinder.f361short	查找顶部标签数据方法	java.lang.String r2 = androidx.loader.C1094.m2495(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	18740	114	17	729	kevin.fun.hook.DexKitFinder.f361short	GET_TAB_ID_METHOD	java.lang.String r1 = androidx.interpolator.C1082.m1694(r1, r2, r3, r4)
kevin\fun\hook\DexKitFinder.java	18760	164	8	3249	kevin.fun.hook.DexKitFinder.f361short	查找消息处理器类	java.lang.String r2 = androidx.emoji2.C1080.m1525(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	18774	194	13	2761	kevin.fun.hook.DexKitFinder.f361short	查找评论Fragment类	java.lang.String r2 = androidx.loader.C1094.m2495(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	18782	207	24	2633	kevin.fun.hook.DexKitFinder.f361short	AWEME_RAW_AD_ERROR_CLASS	java.lang.String r1 = androidx.lifecycle.process.C1088.m2044(r1, r2, r3, r4)
kevin\fun\hook\DexKitFinder.java	18788	231	7	758	kevin.fun.hook.DexKitFinder.f361short	查找原始广告类	java.lang.String r2 = androidx.lifecycle.livedata.C1086.m1920(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	18796	238	25	3236	kevin.fun.hook.DexKitFinder.f361short	AWEME_RAW_AD_ERROR_METHOD	java.lang.String r1 = androidx.loader.C1094.m2495(r1, r2, r3, r4)
kevin\fun\hook\DexKitFinder.java	18810	271	16	2861	kevin.fun.hook.DexKitFinder.f361short	Remove_ActionBar	java.lang.String r1 = androidx.lifecycle.process.C1087.m2008(r1, r2, r3, r4)
kevin\fun\hook\DexKitFinder.java	18816	287	9	649	kevin.fun.hook.DexKitFinder.f361short	查找操作栏移除方法	java.lang.String r2 = androidx.interpolator.C1081.m1616(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	18830	307	8	2641	kevin.fun.hook.DexKitFinder.f361short	查找已读标记方法	java.lang.String r2 = androidx.activity.C1063.m241(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	18844	329	8	3176	kevin.fun.hook.DexKitFinder.f361short	查找已读请求方法	java.lang.String r2 = androidx.appcompat.resources.C1068.m652(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	18858	348	8	1728	kevin.fun.hook.DexKitFinder.f361short	查找直播人数方法	java.lang.String r2 = dev.rikka.ndk.thirdparty.libcxx.C1112.m3796(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	18872	370	8	2554	kevin.fun.hook.DexKitFinder.f361short	查找消息发送方法	java.lang.String r2 = kevin.fun.hook.audio.C1114.m7940(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	18880	378	20	3256	kevin.fun.hook.DexKitFinder.f361short	VideoViewHolder_bind	java.lang.String r1 = androidx.vectordrawable.C1105.m3247(r1, r2, r3, r4)
kevin\fun\hook\DexKitFinder.java	18894	408	12	2473	kevin.fun.hook.DexKitFinder.f361short	Back_Refresh	java.lang.String r1 = androidx.lifecycle.process.C1090.m2213(r1, r2, r3, r4)
kevin\fun\hook\DexKitFinder.java	18908	428	13	2435	kevin.fun.hook.DexKitFinder.f361short	Double_method	java.lang.String r1 = androidx.vectordrawable.C1103.m3132(r1, r2, r3, r4)
kevin\fun\hook\DexKitFinder.java	18914	441	6	1495	kevin.fun.hook.DexKitFinder.f361short	查找双击方法	java.lang.String r2 = androidx.lifecycle.livedata.C1084.m1796(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	18922	447	15	794	kevin.fun.hook.DexKitFinder.f361short	BIG_EMOJI_CLASS	java.lang.String r1 = androidx.loader.C1094.m2495(r1, r2, r3, r4)
kevin\fun\hook\DexKitFinder.java	18928	462	6	2381	kevin.fun.hook.DexKitFinder.f361short	查找大表情类	java.lang.String r2 = androidx.activity.C1064.m310(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	18936	468	15	2294	kevin.fun.hook.DexKitFinder.f361short	AUTO_PLAY_CLASS	java.lang.String r1 = androidx.lifecycle.process.C1091.m2229(r1, r2, r3, r4)
kevin\fun\hook\DexKitFinder.java	18942	483	7	2148	kevin.fun.hook.DexKitFinder.f361short	查找自动连播类	java.lang.String r2 = androidx.loader.C1094.m2495(r2, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	18964	511	14	2631	kevin.fun.hook.DexKitFinder.f361short	NewBGCellState	java.lang.String r1 = kevin.fun.hook.audio.C1116.m8020(r1, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	18970	525	17	968	kevin.fun.hook.DexKitFinder.f361short	查找NewBGCellState类	java.lang.String r3 = org.luckypray.dexkit.C1123.m10510(r3, r4, r5, r6)
kevin\fun\hook\DexKitFinder.java	19005	583	15	2053	kevin.fun.hook.DexKitFinder.f361short	SimPlayer_Class	java.lang.String r1 = androidx.vectordrawable.C1104.m3232(r1, r3, r4, r5)
kevin\fun\hook\DexKitFinder.java	19011	598	12	1112	kevin.fun.hook.DexKitFinder.f361short	查找SimPlayer类	java.lang.String r3 = dev.rikka.ndk.thirdparty.libcxx.C1110.m3697(r3, r4, r5, r6)
kevin\fun\hook\DexKitFinder.java	19019	610	25	440	kevin.fun.hook.DexKitFinder.f361short	NewBgContentCellUI_METHOD	java.lang.String r1 = org.luckypray.dexkit.C1125.m10615(r1, r3, r4, r5)
