"Root"	"RelativePath"	"Bytes"	"Extension"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.lifecycle_lifecycle-process.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.lifecycle_lifecycle-runtime.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.lifecycle_lifecycle-runtime-compose.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.lifecycle_lifecycle-runtime-ktx.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.lifecycle_lifecycle-viewmodel.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.lifecycle_lifecycle-viewmodel-ktx.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.lifecycle_lifecycle-viewmodel-savedstate.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.loader_loader.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.localbroadcastmanager_localbroadcastmanager.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.print_print.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.profileinstaller_profileinstaller.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.savedstate_savedstate.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.savedstate_savedstate-compose.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.savedstate_savedstate-ktx.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.startup_startup-runtime.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.tracing_tracing.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.transition_transition.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.vectordrawable_vectordrawable.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.vectordrawable_vectordrawable-animated.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.versionedparcelable_versionedparcelable.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.window_window.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\androidx.window_window-core.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\com\android\build\gradle\app-metadata.properties"	"56"	".properties"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\kotlinx_coroutines_android.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\kotlinx_coroutines_core.version"	"6"	".version"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\native-image\com.alibaba.fastjson2\fastjson2\native-image.properties"	"1903"	".properties"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\native-image\okhttp\okhttp\native-image.properties"	"144"	".properties"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\okhttp.kotlin_module"	"802"	".kotlin_module"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\scm\com.alibaba.fastjson2\fastjson2\git.properties"	"928"	".properties"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\services\a7.f"	"5"	".f"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\services\ec.l0"	"5"	".l0"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\services\jc.r"	"5"	".r"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\services\m9.b"	"5"	".b"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\services\sa.j"	"15"	".j"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\version-control-info.textproto"	"46"	".textproto"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\xposed\java_init.list"	"39"	".list"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\xposed\module.prop"	"74"	".prop"
"FkWeChat_1.2.6-jadx"	"resources\META-INF\xposed\scope.list"	"14"	".list"
"FkWeChat_1.2.6-jadx"	"resources\module.prop"	"152"	".prop"
"FkWeChat_1.2.6-jadx"	"resources\res\mipmap-hdpi\ic_launcher.png"	"30373"	".png"
"FkWeChat_1.2.6-jadx"	"resources\res\values\arrays.xml"	"150"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values\attrs.xml"	"1228"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values\public.xml"	"14365"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values\strings.xml"	"3848"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values\styles.xml"	"656"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-af\strings.xml"	"3702"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-am\strings.xml"	"4310"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-ar\strings.xml"	"4453"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-as\strings.xml"	"5242"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-az\strings.xml"	"3802"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-b+sr+Latn\strings.xml"	"3794"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-be\strings.xml"	"4637"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-bg\strings.xml"	"4638"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-bn\strings.xml"	"5166"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-bs\strings.xml"	"3858"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-ca\strings.xml"	"3901"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-cs\strings.xml"	"3831"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-da\strings.xml"	"3707"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-de\strings.xml"	"3856"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-el\strings.xml"	"4801"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-en-rAU\strings.xml"	"3646"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-en-rCA\strings.xml"	"3637"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-en-rGB\strings.xml"	"3646"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-en-rIN\strings.xml"	"3646"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-en-rXC\strings.xml"	"18556"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-es\strings.xml"	"3911"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-es-rUS\strings.xml"	"3895"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-et\strings.xml"	"3771"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-eu\strings.xml"	"3801"	".xml"
